"","ID","X15n_tissue_lediscrim","X15n_value_lediscrim","FL_mm","cluster_2018.2019"
"1","GLCD022019","d15N_PLAS",14.39220274,359,2
"2","GLCD022019","d15N_RBC",14.69,359,2
"3","GLCD032018","d15N_PLAS",15.64,556,1
"4","GLCD032018","d15N_RBC",16.57,556,1
"5","GLCD082019","d15N_PLAS",14.62,400,2
"6","GLCD082019","d15N_RBC",15.78,400,2
"7","GLCD092018","d15N_PLAS",15.39,410,2
"8","GLCD092018","d15N_RBC",14.66,410,2
"9","GLCD092019","d15N_PLAS",15.99,445,1
"10","GLCD092019","d15N_RBC",15.95,445,1
"11","GLCD102018","d15N_RBC",16.11,393,1
"12","GLCD102018","d15N_PLAS",16.43,393,1
"13","GLCD112018","d15N_RBC",14.81,370,1
"14","GLCD112018","d15N_PLAS",14.72,370,1
"15","GLCD122018","d15N_RBC",14.84,346,2
"16","GLCD122018","d15N_PLAS",14.74,346,2
"17","GLCD132018","d15N_RBC",14.37,447,1
"18","GLCD132018","d15N_PLAS",14.47,447,1
"19","GLCD132019","d15N_PLAS",14.86,340,1
"20","GLCD132019","d15N_RBC",14.9,340,1
"21","GLCD142019","d15N_RBC",14.44,330,1
"22","GLCD142019","d15N_PLAS",14.02,330,1
"23","GLCD152019","d15N_PLAS",17.01,460,1
"24","GLCD152019","d15N_RBC",17.19,460,1
"25","GLCD162019","d15N_PLAS",14.44,390,1
"26","GLCD162019","d15N_RBC",14.59,390,1
"27","GLCD192019","d15N_PLAS",14.65,450,2
"28","GLCD192019","d15N_RBC",15.3,450,2
"29","GLCD212019","d15N_RBC",14.44,370,1
"30","GLCD212019","d15N_PLAS",13.89,370,1
"31","GLCD232018","d15N_RBC",14.36,380,2
"32","GLCD232018","d15N_PLAS",15.81,380,2
"33","GLCD242019","d15N_PLAS",14.13,345,1
"34","GLCD242019","d15N_RBC",13.66,345,1
"35","GLCD262018","d15N_RBC",15.57,465,2
"36","GLCD262018","d15N_PLAS",16.14,465,2
"37","GLCD292019","d15N_PLAS",13.35,285,1
"38","GLCD292019","d15N_RBC",14.13,285,1
"39","GLCD302019","d15N_PLAS",14.06,360,1
"40","GLCD302019","d15N_RBC",14.68,360,1
"41","GLCD372018","d15N_RBC",14.57,447,1
"42","GLCD372018","d15N_PLAS",16.28,447,1
"43","GLCD372019","d15N_RBC",16.21,472,1
"44","GLCD372019","d15N_PLAS",15.84,472,1
"45","GLCD382019","d15N_PLAS",15.28,316,1
"46","GLCD382019","d15N_RBC",15.39,316,1
"47","GLCD422019","d15N_PLAS",13.35,302,1
"48","GLCD422019","d15N_RBC",14.98,302,1
"49","GLCD432019","d15N_PLAS",14.05,335,1
"50","GLCD432019","d15N_RBC",14.04,335,1
"51","GLCD482019","d15N_PLAS",13.95,350,1
"52","GLCD482019","d15N_RBC",14.97,350,1
"53","GLCD632018","d15N_RBC",15.29,442,2
"54","GLCD632018","d15N_PLAS",15.14,442,2
"55","GLCD652018","d15N_RBC",15.48,516,2
"56","GLCD652018","d15N_PLAS",16.26,516,2
"57","GLCD712018","d15N_RBC",15.63,470,2
"58","GLCD712018","d15N_PLAS",15.57,470,2
"59","GLCD722018","d15N_RBC",16.37,455,2
"60","GLCD722018","d15N_PLAS",16.57,455,2
"61","GLCD732018","d15N_RBC",15.55,430,2
"62","GLCD732018","d15N_PLAS",15.67,430,2
